Modell;Prompt;Thematische Passung;Wortanzahl (Anforderung vs. Realität);Geschätzte Token-Zahl (Gesamte Antwort);Tonalität;Kategorie
llama3.2:1b;Schreibe eine E-Mail ... exakt 256 Wörter.;✅ In Ordnung;❌ (147/256 Wörter);200;✅ In Ordnung;❌ Unzureichend
llama3.2:3b;Schreibe eine E-Mail ... exakt 256 Wörter.;✅ In Ordnung;❌ (209/256 Wörter);256;✅ In Ordnung;❌ Unzureichend
deepseek-r1:1.5b;Write an email... exakt 256 Wörter.;✅ In Ordnung;❌ (153/256 Wörter);415;✅ In Ordnung;❌ Unzureichend
gemma3:4b;Write an email... exakt 512 Wörter.;✅ In Ordnung;❌ (181/512 Wörter);291;✅ In Ordnung;❌ Unzureichend
gemma3:1b;Write an email... exakt 512 Wörter.;⚠️ Ausbaufähig;❌ (175/512 Wörter);373;✅ In Ordnung;❌ Unzureichend
llama3.2:1b;Schreibe eine E-Mail ... exakt 512 Wörter.;✅ In Ordnung;❌ (239/512 Wörter);309;✅ In Ordnung;❌ Unzureichend
llama3.2:3b;Schreibe eine E-Mail ... exakt 512 Wörter.;✅ In Ordnung;❌ (205/512 Wörter);446;✅ In Ordnung;❌ Unzureichend
deepseek-r1:1.5b;Write an email... exakt 512 Wörter.;⚠️ Ausbaufähig;❌ (239/512 Wörter);454;✅ In Ordnung;❌ Unzureichend
gemma3:4b;Write an email... exakt 1024 Wörter.;✅ In Ordnung;❌ (348/1024 Wörter);613;✅ In Ordnung;❌ Unzureichend
gemma3:1b;Write an email... exakt 1024 Wörter.;✅ In Ordnung;❌ (397/1024 Wörter);868;✅ In Ordnung;❌ Unzureichend
llama3.2:1b;Schreibe eine E-Mail ... exakt 1024 Wörter.;✅ In Ordnung;❌ (292/1024 Wörter);465;✅ In Ordnung;❌ Unzureichend
llama3.2:3b;Schreibe eine E-Mail ... exakt 1024 Wörter.;⚠️ Ausbaufähig;❌ (174/1024 Wörter);205;✅ In Ordnung;❌ Unzureichend
deepseek-r1:1.5b;Write an email... exakt 1024 Wörter.;⚠️ Ausbaufähig;❌ (126/1024 Wörter);378;✅ In Ordnung;❌ Unzureichend
gemma3:4b;Write an email... exakt 2056 Wörter.;✅ In Ordnung;❌ (150/2056 Wörter);224;✅ In Ordnung;❌ Unzureichend
gemma3:1b;Write an email... exakt 2056 Wörter.;✅ In Ordnung;❌ (335/2056 Wörter);545;✅ In Ordnung;❌ Unzureichend
llama3.2:1b;Schreibe eine E-Mail ... exakt 2056 Wörter.;✅ In Ordnung;❌ (233/2056 Wörter);286;✅ In Ordnung;❌ Unzureichend
llama3.2:3b;Schreibe eine E-Mail ... exakt 2056 Wörter.;⚠️ Ausbaufähig;❌ (116/2056 Wörter);179;✅ In Ordnung;❌ Unzureichend
deepseek-r1:1.5b;Write an email... exakt 2056 Wörter.;✅ In Ordnung;❌ (169/2056 Wörter);412;✅ In Ordnung;❌ Unzureichend
